"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-04-01,2010,648,0,7,1035
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2012-01-01,2012,838,5341,11,1247
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-04-01,2011,871,6381,13,1465
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-07-01,2007,137,0,2,137
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-02-01,2009,184,0,8,675
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-03-01,2009,293,0,9,753
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-11-01,2009,323,0,5,644
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-10-01,2010,983,0,12,1557
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-03-01,2010,571,0,9,1135
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-10-01,2011,1142,3173,16,2111
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-04-01,2011,824,3957,13,1465
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-02-01,2011,627,2473,9,1088
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-06-01,2008,409,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-08-01,2009,892,0,9,1016
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-09-01,2009,695,0,9,1076
